Name,Course,Order,Module/Section,Days,Status,Builds,Milestone
M01 - Understanding the Outsourcing Business,Outsourcing Course,1,Phase 1: Foundations,1-5,Not Started,business workspace,Understands customer-to-you-to-supplier money flow margins vs markup and common beginner mistakes
M02 - Market Research,Outsourcing Course,2,Phase 1: Foundations,6-9,Not Started,,Validated real demand competitor research done and starting niche locked with evidence
M03 - Business Setup,Outsourcing Course,3,Phase 2: Legal and Setup,10-16,Not Started,,SA business structure CIPC registration tax banking contracts invoicing insurance and compliance understood
M04 - Suppliers,Outsourcing Course,4,Phase 3: Product and Supply,17-22,Not Started,,Blank-garment wholesalers and decorators found vetted and a backup supplier identified
M05 - Products,Outsourcing Course,5,Phase 3: Product and Supply,23-27,Not Started,,Uniform and workwear product range packaging and catalogue defined
M06 - Pricing,Outsourcing Course,6,Phase 3: Product and Supply,28-33,Not Started,pricing calculator,Costs markup vs margin bulk pricing MOQs deposits and corporate rates calculated
M07 - Branding,Outsourcing Course,7,Phase 4: Brand and Web,34-38,Not Started,,Positioning brand identity USP and professional documents defined
M08 - Website,Outsourcing Course,8,Phase 4: Brand and Web,39-45,Not Started,business website,Business website designed built and deployed on its own domain
M09 - Sales,Outsourcing Course,9,Phase 5: Sales Engine,46-52,Not Started,,Cold calling cold email WhatsApp outreach discovery calls quoting objection handling and closing scripts in use
M10 - Lead Generation,Outsourcing Course,10,Phase 5: Sales Engine,53-58,Not Started,,Lead finding scoring and follow-up cadence running with conversion tracked
M11 - CRM and Operations,Outsourcing Course,11,Phase 5: Sales Engine,59-66,Not Started,CRM,Leads customers quotes orders suppliers inventory payments and deliveries tracked in one system
M12 - AI and Automation,Outsourcing Course,12,Phase 6: Operations,67-73,Not Started,outreach and reporting automations,Outreach follow-ups CRM updates quote generation and reporting automated with approval steps
M13 - Order Fulfilment,Outsourcing Course,13,Phase 6: Operations,74-80,Not Started,fulfilment SOP and order tracker,Full quote-to-reorder pipeline documented as an SOP
M14 - Customer Service,Outsourcing Course,14,Phase 6: Operations,81-85,Not Started,,Systems for complaints delays wrong/damaged orders returns refunds and late payments in place
M15 - Finance,Outsourcing Course,15,Phase 7: Money and Growth,86-91,Not Started,finance tracker,Revenue expenses gross/net profit cash flow working capital and break-even tracked
M16 - Marketing,Outsourcing Course,16,Phase 7: Money and Growth,92-97,Not Started,,SEO Google Business Profile LinkedIn WhatsApp referrals and paid ads ranked and prioritized
M17 - Customer Retention,Outsourcing Course,17,Phase 7: Money and Growth,98-102,Not Started,,Reorder reminders corporate contracts referrals and upsells automated where reliable
M18 - Hiring and Scaling,Outsourcing Course,18,Phase 8: Team and Systems,103-107,Not Started,,Hiring triggers and first hire type (VA/sales/ops) decided
M19 - SOP Library,Outsourcing Course,19,Phase 8: Team and Systems,108-111,Not Started,SOP library,Every recurring process documented simply enough to hand to a new employee
M20 - Business Dashboard,Outsourcing Course,20,Phase 8: Team and Systems,112-115,Not Started,business dashboard,Leads conversion revenue gross margin CAC repeat customers and outstanding payments in one view
M21 - Scaling,Outsourcing Course,21,Phase 8: Team and Systems,116-120,Not Started,,Path from first customer to consistent profit to a team to a second niche/city defined
