Name,Course,Order,Module/Section,Priority Tier,Status,Est. Minutes (estimate)
Module 1 - Understanding YouTube,YouTube Course,1,World 1: Foundation,Tier 1 - non-negotiable,Not Started,120
Module 2 - Building Your Personal Brand,YouTube Course,2,World 1: Foundation,Tier 1 - non-negotiable,Not Started,120
Module 3 - Making Gaming + Reaction Work Together,YouTube Course,3,World 1: Foundation,Tier 1 - non-negotiable,Not Started,120
Module 4 - Gaming Content,YouTube Course,4,World 2: Content Craft,Tier 2 - before first upload (if your first video is gaming),Not Started,120
Module 5 - Reaction Content,YouTube Course,5,World 2: Content Craft,Tier 2 - before first upload (if your first video is reaction),Not Started,120
Module 6 - Video Ideas,YouTube Course,6,World 2: Content Craft,Tier 1 - non-negotiable,Not Started,120
Module 7 - Titles,YouTube Course,7,World 2: Content Craft,Tier 2 - before first upload,Not Started,90
Module 8 - Thumbnails,YouTube Course,8,World 2: Content Craft,Tier 2 - before first upload,Not Started,90
Module 9 - Scriptwriting,YouTube Course,9,World 2: Content Craft,Tier 1 - non-negotiable,Not Started,120
Module 10 - How to Talk Throughout a Video,YouTube Course,10,World 2: Content Craft,Tier 1 - non-negotiable,Not Started,150
Module 11 - Audience Retention,YouTube Course,11,World 2: Content Craft,Tier 2 - before first upload,Not Started,120
Module 12 - Filming and On-Camera Presence,YouTube Course,12,World 2: Content Craft,Tier 2 - before first upload,Not Started,120
Module 13 - Working With Your Editor,YouTube Course,13,World 3: Production and Distribution,Tier 2 - before first upload,Not Started,90
Module 14 - YouTube Shorts,YouTube Course,14,World 3: Production and Distribution,Tier 3 - within first month,Not Started,90
Module 15 - TikTok Instagram and Other Platforms,YouTube Course,15,World 3: Production and Distribution,Tier 3 - within first month,Not Started,90
Module 16 - Building a Community,YouTube Course,16,World 3: Production and Distribution,Tier 3 - within first month,Not Started,90
Module 17 - Analytics,YouTube Course,17,World 3: Production and Distribution,Tier 3 - within first month,Not Started,120
Module 18 - Growth,YouTube Course,18,World 4: Business and Systems,Tier 4 - once you have traction,Not Started,120
Module 19 - Monetization,YouTube Course,19,World 4: Business and Systems,Tier 4 - once you have traction,Not Started,90
Module 20 - Brand Deals,YouTube Course,20,World 4: Business and Systems,Tier 4 - once you have traction,Not Started,90
Module 21 - Your First 100 Videos,YouTube Course,21,World 4: Business and Systems,Tier 4 - once you have traction,Not Started,90
Module 22 - Your First 90 Days,YouTube Course,22,World 4: Business and Systems,Tier 4 - once you have traction,Not Started,90
Module 23 - Your Weekly Creator System,YouTube Course,23,World 4: Business and Systems,Tier 3 - within first month,Not Started,90
Module 24 - Your Personal YouTube Playbook,YouTube Course,24,World 4: Business and Systems,Tier 4 - living document drafted early,Not Started,90
