Name,Level,Pillar,Status,Target Date,Success Criteria
Financially independent across trading crypto YouTube AI agency and outsourcing; C2 English and strong social/leadership/strategic skills; fit with an active hobby life; a rich social life with real travel; room for piano once established,Life Vision,,Active,,Directional - reviewed yearly
Complete Trading Phases 1-12 and begin Phase 13/14 (Bar Replay and Backtesting),90-Day,Day Trading,Active,,Phases Database shows Trading Phase 12 Completed and Phase 13 or 14 Active
Complete Outsourcing Phases 1-3 (Days 1-33 of the course),90-Day,Outsourcing (Workwear),Active,,Phases Database shows Outsourcing Phase 3 Completed
Complete YouTube Tier 1 and Tier 2 modules and publish first videos,90-Day,YouTube,Active,,Curriculum Items shows all Tier 1/2 modules Completed and YouTube Pipeline shows 1+ Uploaded entries
Complete Personal Development Sections 1-3 to Competent+,90-Day,Personal Development,Active,,PD Phases 1-3 marked Completed at Competent-to-Advanced
Establish 5 AM wake and gym as an automatic habit,90-Day,Fitness,Active,,Habit Tracker shows 90%+ adherence on Woke at 5 AM and Gym over the period
Hike regularly,1-Year,,Active,,1-2 hikes per month logged
Cook and bake regularly,1-Year,,Active,,Weekly cooking/baking session happening most weeks
Have an active social life,1-Year,,Active,,Regular weekend outings - deliberately not over-tracked
Travel,1-Year,,Active,,At least 1-2 trips planned around milestone/review points
Play tennis or another sport regularly,1-Year,,Future,2026-12-31,Start by end of 2026 - revisit at Q4/end-of-year review and move to Active with a weekend slot once there
Learn piano,1-Year,,Future,,Revisit at a future 90-Day Review once the 4 active course-phase pillars have progressed
